LOGISTA France n°01,"Burton Red pipe tobacco, en 30 g",7.1,7.1
LOGISTA France n°01,"Burton Red pipe tobacco, en 80 g",18.95,18.95
LOGISTA France n°01,"Burton Red pipe tobacco (seau), en 150 g",35.5,35.5
LOGISTA France n°01,"Burton White pipe tobacco, en 20 g",4.8,4.8
LOGISTA France n°01,"Amphora full, en 50 g",17,17
LOGISTA France n°01,"Amsterdamer, en 40 g",13.4,13.4
LOGISTA France n°01,"Backwoods Red, en 150 g",36.5,36.5
LOGISTA France n°01,"Backwoods Red, en 30 g",7.3,7.3
LOGISTA France n°01,"Backwoods Red, en 75 g",18.25,18.25
LOGISTA France n°01,"Caporal (blague), en 40 g",13.4,13.4
LOGISTA France n°01,"Caporal export, en 40 g",15,15
LOGISTA France n°01,"Le Supérieur, en 40 g",15,15
LOGISTA France n°01,"Saint Claude, en 40 g",15,15
LOGISTA France n°01,"Scaferlati bleu (blague), en 40 g",15,15
LOGISTA France n°01,"Scaferlati vert (blague), en 40 g",15,15
LOGISTA France n°01,"Backwoods Green, en 30 g",7.9,7.9
LOGISTA France n°01,"Clan Hollandia, en 50 g",16.8,16.8
LOGISTA France n°01,"Clan original (par 5), en 30 g",11.2,11.2
LOGISTA France n°01,"Clan original (par 5), en 50 g",18.65,18.65
LOGISTA France n°01,"Clan Tradition, en 50 g",16.95,16.95
LOGISTA France n°01,"Mon Terroir blond (blague), en 30 g",7.2,7.2
LOGISTA France n°01,"Schippers speciaal (par 5), en 50 g",18.8,18.8
LOGISTA France n°01,"Van Dyck (par 5), en 50 g",18.1,18.1
LOGISTA France n°01,"Clan Hollandia, en 40 g",,13.45
LOGISTA France n°01,"Clan Hollandia, en 30 g",,10.1
LOGISTA France n°01,"Clan Tradition, en 40 g",,13.6
LOGISTA France n°01,"Clan Tradition, en 30 g",,10.2
LOGISTA France n°01,"Stanley Mini Maxx, en 25 g",,7.5
LOGISTA France n°01,"1637 coupe large en blague, en 40 g",12.7,12.7
LOGISTA France n°01,"1637 coupe large, en 40 g",12.7,12.7
LOGISTA France n°01,"Solelhal (pot), en 40 g",11.5,11.5
LOGISTA France n°01,"Solelhal (blague), en 20 g",5.75,5.75
LOGISTA France n°01,"Solelhal (seau), en 120 g",34.5,34.5
LOGISTA France n°01,"Frérot blond l'Authentique, en 120 g",34.8,34.8
LOGISTA France n°01,"Frérot blond l'Authentique, en 100 g",29,29
LOGISTA France n°01,"Frérot blond Original, en 20 g",5.8,5
LOGISTA France n°01,"Stanley maxx (blague), en 30 g",8.7,8.7
LOGISTA France n°01,"Stanley maxx menthol, en 65 g",18.85,18.85
